MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924800,0.1020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.5950000,-0.0754783,0.1568779,-0.1016784
MsgID.LOCAL_VELOCITY,14.5950000,-0.0000107,-0.0000193,0.0000209
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924791,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.8460000,-0.1327495,0.3133993,-0.0956593
MsgID.LOCAL_VELOCITY,14.8460000,0.0000140,-0.0000089,0.0000160
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924810,0.0970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.0960000,0.0789073,0.2479807,-0.0981572
MsgID.LOCAL_VELOCITY,15.0960000,-0.0000073,-0.0000001,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924814,0.1100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.3460000,0.1082993,0.2526214,-0.1111146
MsgID.LOCAL_VELOCITY,15.3460000,0.0000003,-0.0000142,0.0000147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924810,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.5960000,0.0502954,0.2633154,-0.1349694
MsgID.LOCAL_VELOCITY,15.5960000,0.0000238,0.0000034,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924793,0.1630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.8460000,-0.1281715,0.1412991,-0.1637541
MsgID.LOCAL_VELOCITY,15.8460000,-0.0000237,0.0000127,0.0000098
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924799,0.1910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.0960000,-0.0484977,0.2600092,-0.1937105
MsgID.LOCAL_VELOCITY,16.0960000,0.0000095,-0.0000025,0.0000132
